Name,Time,Casualties
World War II,1939–1945,"40,000,000–85,000,000"
Mongol conquests,1206–1324,"40,000,000–70,000,000"
Taiping Rebellion,1850–1864,"20,000,000–100,000,000"
Three Kingdoms War,184–280,"36,000,000–40,000,000"
Conquest of the Americas,1492–1691,"8,400,000–137,750,000"
Second Sino-Japanese War,1937–1945,25000000
Qing dynasty conquest of Ming Dynasty,1616–1662,25000000
Spanish conquest of Mexico,1519–1632,24300000
An Lushan Rebellion,755–763,"13,000,000–36,000,000"
World War I,1914–1918,20000000
Dungan Revolt,1862–1877,"8,000,000–20,770,000"
Conquests of ,1370–1405,"8,000,000–20,000,000"
Spanish conquest of Peru,1533–1620,8400000
Chinese Civil War,1927–1949,8000000
Reconquista,711–1492,7000000
Russian Civil War and Foreign Intervention,1917–1922,"5,000,000–9,000,000"
Thirty Years' War,1618–1648,"3,000,000–11,500,000"
Napoleonic Wars,1803–1815,"3,500,000–6,000,000"
Second Congo War,1998–2003,"2,500,000–5,400,000"
French Wars of Religion,1562–1598,"2,000,000–4,000,000"
Shaka,1816–1828,2000000
Vietnam War,1955–1975,"800,000–3,800,000"
Biafra War,1967–1970,"1,000,000-3,000,000"
Spanish conquest of Yucatán,1519–1595,1460000
Mexican Revolution,1910–1920,"1,000,000–2,000,000"
War in Afghanistan,1978-present,"1,240,000–2,000,000"
War on Terror,2001–present,"272,000–2,000,000"
Soviet war in Afghanistan,1979–1989,"957,865–1,622,865"
Korean War,1950–1953,1200000
Seven Years' War,1756–1763,"868,000–1,400,000"
Iran–Iraq War,1980–1988,1000000
Japanese invasions of Korea,1592–1598,1000000
French Revolutionary Wars,1792–1802,1000000
American Civil War,1861-1865,"880,000–1,000,000"
War of the Spanish Succession,1701-1714,900000
English Civil War,1642-1651,876000
Conquests of Mehmed II 'the Conqueror',1451-1481,873000
Second Punic War,218-201-BC,770000
Eighty Years' War,1568-1648,"600,000–700,000"
Spanish American Wars of Independence,1810-1826,600000
Angolan Civil War,1975-2002,504158
Ethiopian Civil War,1974-1991,"500,000–1,500,000"
Spanish Civil War,1936-1939,500000
Gallic Wars,58-50-BC,"400,000–1,000,000"
Syrian Civil War,2011-present,470000
Paraguayan War,1864-1870,440000
Cuban Wars of Independence,1868-1898,420000
First Indochina War,1946-1954,400000
Civil war in Afghanistan,1989-92,400000
War of the Triple Alliance,1864-1870,400000
Continuation War,1941-1944,387333
Algerian War of Independence,1954-1962,"350,000–1,500,000"
Crimean War,1853-1856,"356,000–410,000"
Kalinga War,262-261-BC,350000
Third Northern War,1700-1721,350000
Wars of the Three Kingdoms,1639-1651,"356,000–735,000"
Haitian Revolution,1791-1803,"345,000–375,000"
Bangladesh Liberation War,1971,"300,000–3,000,000"
Italian Wars,1494-1559,"300,000–400,000"
Second Burundian Civil War,1993-2005,300000
Somali Civil War,1986-present,300000–500000
War on Terror,2001-present,"272,000–2,000,000"
Philippine American War,1899-1912,234000
Venezuelan War of Independence,1810-1823,228000
Colombian conflict,1964-present,220000
Albigensian Crusade,1208-1229,"200,000–1,000,000"
Algerian Civil War,1991-2002,200000
Carlist Wars,1820-1876,200000
La Violencia,,"192,700-194,700"
Hundred Years' War,1337-1453,"185,250–3,000,000"
War in Darfur,2003-present,"178,258–461,520"
Iraq War/Third Persian Gulf War,2003-2011,"176,913–1,120,000"
Winter War,1939-1940,"153,736-194,837"
West Papua conflict,,"150,000-400,000"
Iraqi Kurdish conflict,1918-2003,"138,800–320,100"
Internal conflict in Myanmar,1948-present,"130,000–250,000"
Thousand Days' War,1899-1902,120000
Great Turkish War,1683-1699,"120,000–384,000"
Lebanese Civil War,1975-1990,"120,000–150,000"
Islamic insurgency in the Philippines,1969-present,120000
Arab Israeli conflict,1920-present,116074
Mexican Drug War,2006-present,106800
LRA insurgency,1987-present,"100,000–500,000"
North Yemen Civil War,1962-1970,"100,000–200,000"
Indian Rebellion of 1857,1857,"100,000–10,000,000"
Ugandan Bush War,1981-1986,"100,000–500,000"
Lord's Resistance Army insurgency,1987-present,100000
Insurgency in Laos,1975-2007,100000
German Peasants' War,1524-1525,100000
Congo Crisis,1960-1965,100000
Aceh War,1873-1914,"97,000–107,000"
Bosnian War,1991-1995,"97,214–104,732"
Arab Israeli conflict,1948-present,93050
Mahdist War,1881-1889,90969
Third conflict in the Goryeo Khitan War,1018-1019,90000
Rif War,1916-1927,90000
1991 uprisings in Iraq,1991,"85,000–235,000"
Burmese Siamese War,1785-86,85000
Angolan War of Independence,1961-1974,"82,991-102,991"
Kashmir Conflict,1947-to-present,"80,000–110,000,"
Sri Lankan Civil War,1983-2009,"80,000–100,000"
Iraq War,2014-present,75000
Internal conflict in Peru,1980-present,70000
