Aircraft Type,Aircraft Subtype,Aircraft Name,Year in Service,Country of Origin,Operator(s) if different from country of origin
Fighter aircraft,Biplane fighters,Armstrong Whitworth Scimitar,1936,UK,Norway
Fighter aircraft,Biplane fighters,Avia B-534,1935,Czechoslovakia,"Czechoslovakia, Bulgaria, Germany, Greece, Slovakia"
Fighter aircraft,Biplane fighters,Avia BH-33,1927,Czechoslovakia,Yugoslavia
Fighter aircraft,Biplane fighters,Blériot-SPAD S.510,1936,France,
Fighter aircraft,Biplane fighters,Boeing P-12,1930,US,"Brazil, China, Philippines, Thailand"
Fighter aircraft,Biplane fighters,Bristol Bulldog,1929,UK,"Denmark, Finland"
Fighter aircraft,Biplane fighters,Curtiss Hawk II,1932,US,China
Fighter aircraft,Biplane fighters,Curtiss Hawk III,1933,US,"China, Thailand"
Fighter aircraft,Biplane fighters,Fiat CR.30,1932,Italy,"Austria, China, Germany, Hungary, Italy, Paraguay"
Fighter aircraft,Biplane fighters,Fiat CR.32,1934,Italy,"Italy, Hungary, China"
Fighter aircraft,Biplane fighters,Fiat CR.42,1939,Italy,"Italy, Belgium, Croatia, Hungary, Germany"
Fighter aircraft,Biplane fighters,Gloster Gamecock II/Kukko,1925,UK,Finland
Fighter aircraft,Biplane fighters,Gloster Gauntlet,1935,UK,"UK, Denmark, Finland"
Fighter aircraft,Biplane fighters,Gloster Gladiator/Sea Gladiator,1937,UK,"UK, Belgium, Finland, Greece, Iraq, Norway"
Fighter aircraft,Biplane fighters,Grumman F3F carrier fighter,1936,US,
Fighter aircraft,Biplane fighters,Grumman Goblin[notes 1],1933,US,Canada
Fighter aircraft,Biplane fighters,Hawker Demon,1931,UK,"UK, Australia"
Fighter aircraft,Biplane fighters,Hawker Fury,1931,UK,"Yugoslavia, South Africa"
Fighter aircraft,Biplane fighters,Hawker Nimrod carrier fighter,1933,UK,Denmark
Fighter aircraft,Biplane fighters,Heinkel He 51,1935,Germany,"Germany, Bulgaria"
Fighter aircraft,Biplane fighters,IMAM Ro.44 floatplane fighter,1937,Italy,
Fighter aircraft,Biplane fighters,Kawasaki Ki-10[1],1935,Japan,
Fighter aircraft,Biplane fighters,Kochyerigin DI-6,1934,USSR,
Fighter aircraft,Biplane fighters,Koolhoven F.K.52,1939,Netherlands,"Netherlands, Finland"
Fighter aircraft,Biplane fighters,Polikarpov I-15 & I-15bis,1934,USSR,"USSR, China, Finland"
Fighter aircraft,Biplane fighters,Polikarpov I-153,1939,USSR,"USSR, China, Finland"
Fighter aircraft,Biplane fighters,Polikarpov I-5,1931,USSR,
Fighter aircraft,Biplane fighters,Prajadhipok,1929,Thailand,
Fighter aircraft,"Single-engined, single-seat monoplane fighters and fighter bombers",Ambrosini SAI.207,1942,Italy,
Fighter aircraft,"Single-engined, single-seat monoplane fighters and fighter bombers",Ansaldo A.120,1925,Italy,"Italy, Lithuania"
Fighter aircraft,"Single-engined, single-seat monoplane fighters and fighter bombers",Arsenal VG-33,1940,France,
Fighter aircraft,"Single-engined, single-seat monoplane fighters and fighter bombers",Avia B-135,1941,Czechoslovakia,"Czechoslovakia, Bulgaria"
Fighter aircraft,"Single-engined, single-seat monoplane fighters and fighter bombers",Bell P-39 Airacobra,1941,US,"US, USSR, Australia, France, UK"
Fighter aircraft,"Single-engined, single-seat monoplane fighters and fighter bombers",Bell P-63 Kingcobra,1942,US,"US, USSR"
Fighter aircraft,"Single-engined, single-seat monoplane fighters and fighter bombers",Bloch MB.150-157,1940,France,"France, Greece, Romania"
Fighter aircraft,"Single-engined, single-seat monoplane fighters and fighter bombers",Boeing P-26 Peashooter,1933,US,"US, China, Philippines"
Fighter aircraft,"Single-engined, single-seat monoplane fighters and fighter bombers",Breda Ba.27,1933,Italy,China
Fighter aircraft,"Single-engined, single-seat monoplane fighters and fighter bombers",Brewster F2A Buffalo,1939,US,"US, Finland, Netherlands, New Zealand, UK, Australia"
Fighter aircraft,"Single-engined, single-seat monoplane fighters and fighter bombers",CAC Boomerang[notes 2],1943,Australia,
Fighter aircraft,"Single-engined, single-seat monoplane fighters and fighter bombers",Caudron C.714,1940,France,"France, Finland, Poland"
Fighter aircraft,"Single-engined, single-seat monoplane fighters and fighter bombers",Curtiss P-36 Hawk/Mohawk,1938,US,"US, Brazil, Finland, France, Netherlands, Norway, Thailand, UK"
Fighter aircraft,"Single-engined, single-seat monoplane fighters and fighter bombers",Curtiss P-40 Warhawk/Tomahawk/Kittyhawk,1939,US,"US, Australia, Brazil, Canada, China, Finland, New Zealand, South Africa, UK, USSR"
Fighter aircraft,"Single-engined, single-seat monoplane fighters and fighter bombers",Curtiss-Wright CW-21 Demon,1939,US,"China, Netherlands"
Fighter aircraft,"Single-engined, single-seat monoplane fighters and fighter bombers",Dewoitine D.500/D.510,1935,France,"France, China"
Fighter aircraft,"Single-engined, single-seat monoplane fighters and fighter bombers",Dewoitine D.520,1940,France,"France, Bulgaria, Italy"
Fighter aircraft,"Single-engined, single-seat monoplane fighters and fighter bombers",Fiat G.50,1938,Italy,"Italy, Finland, Croatia"
Fighter aircraft,"Single-engined, single-seat monoplane fighters and fighter bombers",Fiat G.55,1943,Italy,
Fighter aircraft,"Single-engined, single-seat monoplane fighters and fighter bombers",Focke-Wulf Fw 190,1941,Germany,"Germany, Hungary, Romania"
Fighter aircraft,"Single-engined, single-seat monoplane fighters and fighter bombers",Focke-Wulf Ta 152 high altitude fighter,1945,Germany,
Fighter aircraft,"Single-engined, single-seat monoplane fighters and fighter bombers",Fokker D.XXI,1936,Netherlands,"Netherlands, Denmark, Finland"
Fighter aircraft,"Single-engined, single-seat monoplane fighters and fighter bombers",Grumman F4F/FM Wildcat/Martlet carrier fighter,1940,US,"US, UK"
Fighter aircraft,"Single-engined, single-seat monoplane fighters and fighter bombers",Grumman F6F Hellcat/Gannet carrier fighter,1943,US,"US, UK"
Fighter aircraft,"Single-engined, single-seat monoplane fighters and fighter bombers",Grumman F8F Bearcat carrier fighter[notes 3],1945,US,
Fighter aircraft,"Single-engined, single-seat monoplane fighters and fighter bombers",Hawker Hurricane/Sea Hurricane,1937,UK,"UK, Belgium, Canada, Finland, France, Greece, India, New Zealand, USSR"
Fighter aircraft,"Single-engined, single-seat monoplane fighters and fighter bombers",Hawker Tempest,1944,UK,"India, New Zealand, UK"
Fighter aircraft,"Single-engined, single-seat monoplane fighters and fighter bombers",Hawker Typhoon,1940,UK,
Fighter aircraft,"Single-engined, single-seat monoplane fighters and fighter bombers",Heinkel He 112,1937,Germany,"Germany, Hungary, Romania"
Fighter aircraft,"Single-engined, single-seat monoplane fighters and fighter bombers",IAR 80/IAR 81,1941,Romania,
Fighter aircraft,"Single-engined, single-seat monoplane fighters and fighter bombers",Ikarus IK-2,1935,Yugoslavia,"Yugoslavia, Croatia"
Fighter aircraft,"Single-engined, single-seat monoplane fighters and fighter bombers",Kawanishi N1K/N1K-J,1943,Japan,
Fighter aircraft,"Single-engined, single-seat monoplane fighters and fighter bombers",Kawasaki Ki-61,1943,Japan,
Fighter aircraft,"Single-engined, single-seat monoplane fighters and fighter bombers",Kawasaki Ki-100,1945,Japan,
Fighter aircraft,"Single-engined, single-seat monoplane fighters and fighter bombers",Koolhoven F.K.58,1940,Netherlands,"Netherlands, France"
Fighter aircraft,"Single-engined, single-seat monoplane fighters and fighter bombers",Lavochkin-Gorbunov-Gudkov LaGG-1,1940,USSR,
Fighter aircraft,"Single-engined, single-seat monoplane fighters and fighter bombers",Lavochkin-Gorbunov-Gudkov LaGG-3,1941,USSR,"USSR, Finland"
Fighter aircraft,"Single-engined, single-seat monoplane fighters and fighter bombers",Lavochkin La-5,1942,USSR,
Fighter aircraft,"Single-engined, single-seat monoplane fighters and fighter bombers",Lavochkin La-7,1944,USSR,
Fighter aircraft,"Single-engined, single-seat monoplane fighters and fighter bombers",Loire 46 parasol monoplane,1936,France,
Fighter aircraft,"Single-engined, single-seat monoplane fighters and fighter bombers",Macchi C.200,1939,Italy,
Fighter aircraft,"Single-engined, single-seat monoplane fighters and fighter bombers",Macchi C.202,1941,Italy,"Italy, Croatia, Germany"
Fighter aircraft,"Single-engined, single-seat monoplane fighters and fighter bombers",Macchi C.205,1943,Italy,"Italy, Croatia, Germany"
Fighter aircraft,"Single-engined, single-seat monoplane fighters and fighter bombers",MÁVAG Héja,1941,Hungary,
Fighter aircraft,"Single-engined, single-seat monoplane fighters and fighter bombers",Messerschmitt Bf 109,1937,Germany,"Germany, Yugoslavia, Bulgaria, Finland, Hungary, Italy, Romania"
